syn_018440	整体词	syn_002327
syn_009247	上位词	syn_001148
syn_007553	上位词	syn_004810
syn_015291	反义词	syn_015540
syn_010759	反义词	syn_001475
syn_010735	反义词	syn_001470
syn_002160	上位词	syn_004717
syn_016563	上位词	syn_002327
syn_000454	反义词	syn_015180
syn_008336	上位词	syn_000472
syn_002074	上位词	syn_004717
syn_001397	反义词	syn_010431
syn_001603	反义词	syn_011425
syn_016136	整体词	syn_016358
syn_002172	上位词	syn_002319
syn_000269	整体词	syn_002466
syn_019758	上位词	syn_005604
syn_019856	整体词	syn_002344
syn_001468	反义词	syn_010726
syn_019806	上位词	syn_002319
syn_001603	反义词	syn_011426
syn_003759	上位词	syn_005604
syn_009576	反义词	syn_009575
syn_013082	上位词	syn_005604
syn_008114	上位词	syn_002308
syn_004857	上位词	syn_002766
syn_009192	上位词	syn_000995
syn_010100	反义词	syn_010107
syn_012372	整体词	syn_016358
syn_015124	上位词	syn_012135
syn_015267	反义词	syn_015266
syn_002636	上位词	syn_005604
syn_019348	上位词	syn_006272
syn_004266	上位词	syn_012477
syn_015824	上位词	syn_017264
syn_001780	反义词	syn_010328
syn_015153	上位词	syn_001942
syn_016596	整体词	syn_007181
syn_018521	上位词	syn_005604
syn_008168	上位词	syn_004057
syn_002972	反义词	syn_001502
syn_009462	反义词	syn_009463
syn_011021	反义词	syn_011019
syn_004196	上位词	syn_006870
syn_009320	上位词	syn_009613
syn_005234	上位词	syn_002127
syn_002524	上位词	syn_006272
syn_002191	上位词	syn_016247
syn_000311	反义词	syn_000758
syn_013302	上位词	syn_019181
syn_009704	反义词	syn_009705
syn_010582	反义词	syn_010581
syn_004542	上位词	syn_002521
syn_007104	上位词	syn_007181
syn_011292	反义词	syn_009822
syn_001553	反义词	syn_001122
syn_018760	上位词	syn_005604
syn_003993	反义词	syn_004793
syn_018962	上位词	syn_018963
syn_001446	反义词	syn_010188
syn_002494	上位词	syn_016247
syn_002893	上位词	syn_019171
syn_009349	反义词	syn_010291
syn_014796	上位词	syn_002134
syn_010545	反义词	syn_003604
syn_007435	上位词	syn_018169
syn_005431	上位词	syn_000079
syn_000323	反义词	syn_000320
syn_002677	反义词	syn_002676
syn_016428	上位词	syn_002319
syn_001919	上位词	syn_019181
syn_016818	上位词	syn_006718
syn_008476	上位词	syn_001943
syn_014747	上位词	syn_015820
syn_000226	反义词	syn_004600
syn_012385	上位词	syn_002023
syn_001941	上位词	syn_012157
syn_002530	上位词	syn_016670
syn_005529	上位词	syn_012794
syn_002108	上位词	syn_002468
